Springfield,,,,,,,,,,,,
January 2012 - January 2019,,,,,,,,,,,,
Report Date: 02/23/2019 10:12 AM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Springfield,"""ALWAYS AFTER 5"", INC.",140700460,5,9742030.63,9019256.33,722774.3,3096214,2373439.7,722774.3,216834.57,180695.54,36139.03
Springfield,2266 S. Sixth LLC,160702619,3,183787.47,170968.97,12818.5,66311,53492.5,12818.5,3845.75,3204.81,640.94
Springfield,"411 EAST, INCORPORATED",160702790,5,2966294.3,2740500.7,225793.6,797243,571449.4,225793.6,67738.89,56449.1,11289.79
Springfield,"Admiral P, Inc.",120711311,3,1283461.88,1157382.83,126079.05,453749,327669.9,126079.1,37824.21,31520.2,6304.01
Springfield,"AERIE NO. 437, FRATERNAL ORDER OF EAGLES, INC.",130806057,5,3920347.15,3572081.57,348265.58,1370971,1022705.42,348265.58,104480.61,87067.19,17413.42
Springfield,"Aerie No. 437, Fraternal Order Of Eagles, Inc.",170800451,5,559683.33,516230.24,43453.09,201497,158042.91,43454.09,13036.48,10863.74,2172.74
Springfield,"AJG Industries, Inc.",160700876,3,1453127.09,1323430.45,129696.64,592322,462625.21,129696.79,38909.81,32424.88,6484.93
Springfield,"ALAMO FOODS, INC.",120708006,5,13942263.59,12908852.71,1033410.88,4298442,3265031.12,1033410.88,310026.25,258355.28,51670.97
Springfield,"AMF Bowling Centers, Inc.",120707827,5,5086655.41,4696083.2,390572.21,1731648,1341075.69,390572.31,117173.98,97645,19528.98
Springfield,"ANCHOR BOAT CLUB OF SPRINGFIELD, ILL.",120710859,4,4989290.64,4587946.41,401344.23,1644391,1243046.77,401344.23,120404.5,100337.11,20067.39
Springfield,Aqua Sports Club ,120704622,3,934597.37,842923.42,91673.95,298361,206687.18,91673.82,27502.93,22919.1,4583.83
Springfield,Arlington's LLC,140700636,2,724661.02,653018.99,71642.03,277903,206260.92,71642.08,21493.28,17911.07,3582.21
Springfield,"Aztca Mexican Grill, LLC",140703329,5,2722162.53,2511830.04,210332.49,888890,678557.51,210332.49,63101.41,52584.53,10516.88
